,BandID,BandName,BandLink,BandStatus,Country,Genre,Scraped
448,105154,Živá hudba,https://www.metal-archives.com/bands/%C5%BDiv%C3%A1_hudba/105154,Split-up,Czechia,Heavy Metal,31/08/2019 14:10:46
449,3540401615,Zivatar,https://www.metal-archives.com/bands/Zivatar/3540401615,Active,Hungary,Atmospheric Doom Metal,31/08/2019 14:10:46
450,3540451849,Zive,https://www.metal-archives.com/bands/Zive/3540451849,Active,Brazil,Thrash Metal/Crossover,31/08/2019 14:10:46
451,6941,Živo blato,https://www.metal-archives.com/bands/%C5%BDivo_blato/6941,Active,Croatia,"Heavy Metal, Hard Rock",31/08/2019 14:10:46
452,3540349299,Zix,https://www.metal-archives.com/bands/Zix/3540349299,Active,Lebanon,Heavy Metal,31/08/2019 14:10:46
453,3540416763,Zlatan,https://www.metal-archives.com/bands/Zlatan/3540416763,Active,Sweden,Stoner/Sludge Metal,31/08/2019 14:10:46
454,103642,Zli grč,https://www.metal-archives.com/bands/Zli_gr%C4%8D/103642,Split-up,Croatia,"Death Metal (early), Avant-garde Metal (later)",31/08/2019 14:10:46
455,88494,Zlo,https://www.metal-archives.com/bands/Zlo/88494,Split-up,Czechia,Black Metal,31/08/2019 14:10:46
456,3540440528,Zlobnik,https://www.metal-archives.com/bands/Zlobnik/3540440528,Active,Croatia,Blackened Death Metal,31/08/2019 14:10:46
457,3540442315,Zlomor,https://www.metal-archives.com/bands/Zlomor/3540442315,Active,Czechia,Death Metal/Punk,31/08/2019 14:10:46
458,3540335279,Zloslut,https://www.metal-archives.com/bands/Zloslut/3540335279,Active,Serbia,Black Metal,31/08/2019 14:10:46
459,3540438079,Zlost,https://www.metal-archives.com/bands/Zlost/3540438079,Active,Estonia,Melodic Death Metal,31/08/2019 14:10:46
460,3540386528,Zlyden,https://www.metal-archives.com/bands/Zlyden/3540386528,Active,Ukraine,Atmospheric/Raw Black Metal,31/08/2019 14:10:46
461,3540419379,Zmey Gorynich,https://www.metal-archives.com/bands/Zmey_Gorynich/3540419379,Active,Russia,Folk Metal/Deathcore,31/08/2019 14:10:46
462,3540290905,Zmierzch,https://www.metal-archives.com/bands/Zmierzch/3540290905,Active,Poland,Depressive Black Metal,31/08/2019 14:10:46
463,3540438662,Żmij,https://www.metal-archives.com/bands/%C5%BBmij/3540438662,Active,Poland,Black Metal,31/08/2019 14:10:46
464,56029,Zmijevik,https://www.metal-archives.com/bands/Zmijevik/56029,Unknown,Slovakia,Black Metal,31/08/2019 14:10:46
465,3540321917,Zmilodon,https://www.metal-archives.com/bands/Zmilodon/3540321917,Active,Colombia,Melodic Death Metal,31/08/2019 14:10:46
466,3540344014,Zmoke,https://www.metal-archives.com/bands/Zmoke/3540344014,Active,United States,Stoner Metal,31/08/2019 14:10:46
467,3540333804,Zmora,https://www.metal-archives.com/bands/Zmora/3540333804,Active,Poland,Black Metal,31/08/2019 14:10:46
468,16821,Zmrok,https://www.metal-archives.com/bands/Zmrok/16821,Active,Belarus,Black Metal,31/08/2019 14:10:46
469,3540281812,Zmrok,https://www.metal-archives.com/bands/Zmrok/3540281812,Split-up,Poland,Pagan Black Metal,31/08/2019 14:10:46
470,3540403526,ZN Terror,https://www.metal-archives.com/bands/ZN_Terror/3540403526,Active,Brazil,Thrash Metal,31/08/2019 14:10:46
471,3540390554,Znafelriff,https://www.metal-archives.com/bands/Znafelriff/3540390554,Active,Germany,Black Metal,31/08/2019 14:10:46
472,14199,Znich,https://www.metal-archives.com/bands/Znich/14199,Active,Belarus,Pagan/Folk Metal,31/08/2019 14:10:46
473,228,Znöwhite,https://www.metal-archives.com/bands/Zn%C3%B6white/228,Split-up,United States,Speed/Thrash Metal,31/08/2019 14:10:46
474,119302,Zoanthropic Paranoia,https://www.metal-archives.com/bands/Zoanthropic_Paranoia/119302,Active,Mexico,Death Metal/Grindcore,31/08/2019 14:10:46
